CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/15/2023,8:40,QUEENS,11423,40.72106,-73.75945,"(40.72106, -73.75945)",HILLSIDE AVENUE,FRANCIS LEWIS BOULEVARD,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4689916,,,,,
12/22/2023,11:14,BROOKLYN,11229,40.60375,-73.94928,"(40.60375, -73.94928)",,,1915      EAST 23 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4690010,garbage tr,Sedan,,,
12/22/2023,16:00,,,,,,HARLEM RIVER DRIVE,WEST 171 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4689836,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/12/2023,21:22,QUEENS,11691,40.60107,-73.76127,"(40.60107, -73.76127)",,,24-35     BEACH CHANNEL DRIVE,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4687490,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/21/2023,19:25,BROOKLYN,11238,40.68821,-73.96583,"(40.68821, -73.96583)",WASHINGTON AVENUE,LAFAYETTE AVENUE,,1,0,1,0,0,0,0,0,,,,,,4689900,,,,,
12/22/2023,4:30,QUEENS,11379,40.729355,-73.87738,"(40.729355, -73.87738)",,,84-02     58 AVENUE,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4690102,Sedan,,,,
12/14/2023,0:37,BROOKLYN,11219,40.626766,-73.993546,"(40.626766, -73.993546)",59 STREET,15 AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4686999,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/13/2023,20:14,BROOKLYN,11235,40.5916,-73.960686,"(40.5916, -73.960686)",CONEY ISLAND AVENUE,AVENUE X,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4687075,Moped,Station Wagon/Sport Utility Vehicle,,,
10/31/2023,21:49,MANHATTAN,10016,,,,w 35 street,5 avenue,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4687748,Sedan,Bike,,,
12/15/2023,6:10,BROOKLYN,11234,40.634483,-73.91886,"(40.634483, -73.91886)",RALPH AVENUE,GLENWOOD ROAD,,1,0,0,0,1,0,0,0,Obstruction/Debris,,,,,4687353,Bike,,,,
12/9/2023,8:20,QUEENS,11412,40.70646,-73.753586,"(40.70646, -73.753586)",,,109-89    204 STREET,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,4688050,Sedan,Sedan,,,
12/15/2023,16:06,BROOKLYN,11230,40.62417,-73.97048,"(40.62417, -73.97048)",OCEAN PARKWAY,AVENUE J,,0,0,0,0,0,0,0,0,Unspecified,,,,,4687485,Sedan,,,,
12/14/2023,23:44,,,40.62598,-73.893074,"(40.62598, -73.893074)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4687394,Sedan,,,,
12/13/2023,16:56,QUEENS,11421,40.688946,-73.85322,"(40.688946, -73.85322)",90 STREET,91 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4687179,Bus,,,,
12/11/2023,17:20,,,40.844944,-73.917404,"(40.844944, -73.917404)",MACOMBS ROAD,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4687297,Station Wagon/Sport Utility Vehicle,,,,
12/11/2023,14:17,QUEENS,11366,40.72714,-73.792305,"(40.72714, -73.792305)",76 AVENUE,UTOPIA PARKWAY,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4687358,Sedan,Bus,,,
12/23/2023,10:53,BROOKLYN,11210,40.62573,-73.9564,"(40.62573, -73.9564)",OCEAN AVENUE,AVENUE J,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4689585,Sedan,Moped,,,
