year,ct2010,bbl,year_built,BldgClass,NumFloors,canopy_change_class,UnitsRes,ground_elevation,height_roof,weather_normalized_site_eui,tree_count,commercial_floor_flag,year_built_bracket,log_eui,sqrt_eui,log_tree_count,sqrt_tree_count
2010,17200,1016370028,2002,D3,6.0,Gain,44.0,15.0,75.36,77.4,14,0,Post-1980,4.361823927356363,8.79772697916911,2.70805020110221,3.7416573867739413
2010,17300,2024320047,1928,C1,6.0,No Change,69.0,43.0,64.76,116.9,24,0,Pre-1950,4.769836807543325,10.812030336620408,3.2188758248682006,4.898979485566356
2010,17401,1016150060,1910,D5,5.0,No Change,60.0,14.0,58.0,118.8,16,0,Pre-1950,4.785823685681349,10.89954127475097,2.833213344056216,4.0
2010,17500,2024350007,1941,D1,6.0,No Change,72.0,65.0,64.4,93.0,12,0,Pre-1950,4.543294782270004,9.643650760992955,2.5649493574615367,3.4641016151377544
2010,17500,2024350035,1947,D1,6.0,Gain,55.0,57.0,75.21733774,63.1,18,0,Pre-1950,4.160444363926624,7.9435508432942,2.9444389791664403,4.242640687119285
2010,17800,1017110033,1920,D1,6.0,No Change,96.0,12.0,65.77,90.1,9,0,Pre-1950,4.511957804265912,9.492101980067428,2.302585092994046,3.0
2010,17902,2028300005,1925,D1,6.0,No Change,72.0,88.0,82.79,109.8,15,0,Pre-1950,4.707726774313183,10.478549517943788,2.772588722239781,3.872983346207417
2010,17902,2028300013,1926,D1,6.0,Gain,55.0,94.0,80.46,129.7,11,0,Pre-1950,4.872904620630176,11.388590782006348,2.4849066497880004,3.3166247903554
2010,17902,2028310020,1924,C1,6.0,Gain,55.0,107.0,68.11,135.2,16,0,Pre-1950,4.9141243937154115,11.627553482998906,2.833213344056216,4.0
2010,18100,1018320036,1918,D4,6.0,No Change,74.0,96.0,71.71,75.9,13,0,Pre-1950,4.3425058765115985,8.712060605849802,2.6390573296152584,3.605551275463989
2010,18102,2024560065,1928,C1,5.0,No Change,80.0,98.0,59.900000000000006,134.2,31,0,Pre-1950,4.906755163608864,11.584472366059664,3.4657359027997265,5.5677643628300215
2010,18102,2024620033,1928,D4,6.0,No Change,74.0,96.0,70.59,94.8,23,0,Pre-1950,4.562262684976814,9.736529155710468,3.1780538303479458,4.795831523312719
2010,18300,1012430028,1948,D4,6.0,No Change,54.0,84.0,66.21,74.8,5,0,Pre-1950,4.328098292648326,8.648699324175862,1.791759469228055,2.23606797749979
2010,18302,2024470001,1958,D4,6.0,No Change,67.0,52.0,63.04999999999999,98.40000000000002,22,0,1950-1980,4.599152113662528,9.919677414109797,3.1354942159291497,4.69041575982343
2010,18400,1016220020,2000,D6,6.0,Gain,76.0,38.0,53.93,113.5,21,1,Post-1980,4.740574822994295,10.653637876331258,3.091042453358316,4.58257569495584
2010,18400,1016220043,2001,D9,6.0,Gain,54.0,34.0,53.57,61.2,23,0,Post-1980,4.130354999745133,7.8230428862431785,3.1780538303479458,4.795831523312719
2010,18500,2023710017,2006,D1,6.0,No Change,51.0,40.0,66.0,71.4,7,0,Post-1980,4.282206299391671,8.449852069711044,2.0794415416798357,2.6457513110645907
2010,18500,2026210001,1982,D6,6.0,No Change,185.0,78.0,48.0,167.2,18,1,Post-1980,5.125153747538848,12.93058390019569,2.9444389791664403,4.242640687119285
2010,18500,2026220005,1925,C7,6.0,Gain,68.0,72.0,67.48,105.3,25,1,Pre-1950,4.666265285347902,10.261578825892242,3.258096538021482,5.0
2010,18500,2026320001,1982,D3,5.0,No Change,63.0,78.0,45.36,158.8,16,0,Post-1980,5.073923033332174,12.601587201618692,2.833213344056216,4.0
2010,18900,2025120015,1940,D7,6.0,No Change,58.0,108.0,67.16539213,108.8,16,1,Pre-1950,4.69866052907543,10.430723848324238,2.833213344056216,4.0
2010,19300,2025040094,1926,C1,5.0,No Change,172.0,86.0,61.687319980000005,190.30000000000004,13,0,Pre-1950,5.253842876446208,13.79492660364672,2.6390573296152584,3.605551275463989
2010,19300,2025050006,1930,D1,6.0,No Change,92.0,79.0,64.32,80.5,14,0,Pre-1950,4.400603020246817,8.972179222463181,2.70805020110221,3.7416573867739413
2010,19300,2025050030,1929,D1,6.0,No Change,59.0,29.0,61.42833445,87.8,13,0,Pre-1950,4.486386649998124,9.370165420097983,2.6390573296152584,3.605551275463989
2010,19500,1018920032,1950,D4,6.0,No Change,55.0,107.0,64.66,78.8,28,0,1950-1980,4.379523504455763,8.87693640846886,3.367295829986474,5.291502622129181
2010,19500,2024710036,1941,D4,6.0,Gain,60.0,74.0,70.92,87.5,14,0,Pre-1950,4.483002552013883,9.354143466934854,2.70805020110221,3.7416573867739413
2010,19500,2024760044,1927,D1,6.0,Gain,68.0,62.0,69.25,104.6,26,0,Pre-1950,4.659658371272161,10.227414140436476,3.295836866004329,5.0990195135927845
2010,19500,2024760050,1926,D7,6.0,No Change,64.0,65.0,66.18,200.0,19,1,Pre-1950,5.303304908059076,14.142135623730951,2.995732273553991,4.358898943540674
2010,19500,2024770034,1926,D1,6.0,Gain,72.0,60.0,71.52,76.8,26,0,Pre-1950,4.354141431184346,8.763560920082657,3.295836866004329,5.0990195135927845
2010,19500,2024780064,1938,D7,6.0,Gain,44.0,51.0,72.34,141.7,9,1,Pre-1950,4.960744524482791,11.903780911962384,2.302585092994046,3.0
2010,19500,2024860025,1928,D1,6.0,No Change,54.0,32.0,67.06,118.40000000000002,11,0,Pre-1950,4.782479200958502,10.881176406988356,2.4849066497880004,3.3166247903554
2010,19500,2024860030,1928,D1,6.0,Gain,54.0,33.0,66.48,103.5,15,0,Pre-1950,4.6491870714048655,10.173494974687902,2.772588722239781,3.872983346207417
2010,19700,2024630001,1922,D1,5.0,No Change,56.0,81.0,62.85999999999999,99.2,20,0,Pre-1950,4.607168188650764,9.959919678390985,3.044522437723423,4.47213595499958
2010,19700,2024630006,1922,D1,5.0,No Change,55.0,89.0,60.5,108.3,21,0,Pre-1950,4.694096395182493,10.406728592598157,3.091042453358316,4.58257569495584
2010,19700,2024630011,1922,D1,5.0,No Change,52.0,99.0,60.88,99.2,14,0,Pre-1950,4.607168188650764,9.959919678390985,2.70805020110221,3.7416573867739413
2010,19700,2024630021,1922,C7,6.0,No Change,52.0,99.0,66.27,118.8,13,1,Pre-1950,4.785823685681349,10.89954127475097,2.6390573296152584,3.605551275463989
2010,19700,2024630046,1921,D1,5.0,Loss,58.0,107.0,60.17,118.4,10,0,Pre-1950,4.782479200958502,10.881176406988354,2.3978952727983707,3.1622776601683795
2010,19700,2024790015,1926,C1,5.0,No Change,54.0,71.0,53.6,108.1,15,0,Pre-1950,4.692264892839025,10.397114984456024,2.772588722239781,3.872983346207417
2010,19700,2024880031,1923,C1,6.0,No Change,54.0,61.0,62.17,18.6,14,0,Pre-1950,2.975529566236472,4.312771730569565,2.70805020110221,3.7416573867739413
2010,19700,2024880046,1924,C1,5.0,Gain,56.0,53.0,63.74,44.3,24,0,Pre-1950,3.8133070324889884,6.6558245169174945,3.2188758248682006,4.898979485566356
2010,19700,2024890054,1927,D7,6.0,No Change,54.0,47.0,72.25,114.0,22,1,Pre-1950,4.74493212836325,10.677078252031311,3.1354942159291497,4.69041575982343
2010,19900,1018940036,1906,D4,6.0,Gain,51.0,112.0,72.3,98.40000000000002,32,0,Pre-1950,4.599152113662528,9.919677414109797,3.4965075614664802,5.656854249492381
2010,19900,1018950001,1909,D4,6.0,No Change,58.0,104.0,73.94,80.7,16,0,Pre-1950,4.403054001865957,8.983317872590282,2.833213344056216,4.0
2010,19900,2025060016,1926,D1,6.0,No Change,67.0,39.0,85.68,157.2,12,0,Pre-1950,5.063860055333554,12.537942414925983,2.5649493574615367,3.4641016151377544
2010,19900,2025280019,1928,C7,5.5,No Change,65.0,92.0,54.38508593,94.1,20,1,Pre-1950,4.554928969551344,9.70051545022222,3.044522437723423,4.47213595499958
2010,20000,2039820028,1922,C1,6.0,Loss,62.0,31.0,61.9,122.5,17,0,Pre-1950,4.816241156068032,11.067971810589327,2.8903717578961645,4.123105625617661
2010,20102,1019430001,1900,D1,6.0,No Change,53.0,32.0,93.0,53.2,8,0,Pre-1950,3.9926809084456005,7.293833011524188,2.1972245773362196,2.8284271247461903
2010,20501,2028770216,1928,D1,6.0,Gain,61.0,148.0,66.63556573,87.1,11,0,Pre-1950,4.478472532942134,9.332738076256078,2.4849066497880004,3.3166247903554
2010,20501,2028770233,1926,D7,5.0,Gain,60.0,152.0,64.29449074,75.5,15,1,Pre-1950,4.33729074083249,8.689073598491383,2.772588722239781,3.872983346207417
2010,20501,2028800061,1929,D1,6.0,No Change,98.0,102.0,79.24636403,27.9,11,0,Pre-1950,3.3638415951183864,5.282045058497703,2.4849066497880004,3.3166247903554
2010,20900,2028360005,1923,C1,5.0,Gain,59.0,97.0,58.27000000000001,87.5,20,0,Pre-1950,4.483002552013883,9.354143466934854,3.044522437723423,4.47213595499958
2010,20900,2028360012,1927,D1,6.0,No Change,149.0,98.0,70.91,102.6,20,0,Pre-1950,4.640537329825382,10.12916580968048,3.044522437723423,4.47213595499958
2010,20900,2028450007,1926,C1,6.0,Gain,105.0,79.0,56.94,108.5,14,0,Pre-1950,4.695924549256556,10.41633332799983,2.70805020110221,3.7416573867739413
2010,20900,2028450017,1926,C1,5.0,Gain,55.0,80.0,65.25,93.9,16,0,Pre-1950,4.552823705615882,9.690201236300513,2.833213344056216,4.0
2010,20900,2028450020,1928,D1,6.0,Loss,60.0,83.0,59.11,99.1,18,0,Pre-1950,4.6061696863211745,9.954898291795853,2.9444389791664403,4.242640687119285
2010,20900,2028460047,1950,D1,6.0,No Change,63.0,71.0,82.56,93.1,18,0,1950-1980,4.544358046591334,9.648834126463155,2.9444389791664403,4.242640687119285
2010,20900,2028460061,1927,D1,6.0,No Change,96.0,65.0,89.3,107.2,18,0,Pre-1950,4.6839813664123815,10.353743284435827,2.9444389791664403,4.242640687119285
2010,21100,1019950001,1926,D4,6.0,No Change,50.0,58.0,83.12,90.1,11,0,Pre-1950,4.511957804265912,9.492101980067428,2.4849066497880004,3.3166247903554
