,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Max (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Max (20in),,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Max (20in),,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Max (20in),,,,,,,,,,,,,, ,,2024 Rivian R1S All-Terrain Dual Max (20in),,,,,, ,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Max (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Max (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Max (20in),,,,,,,,,,,,,, ,2024 Rivian R1S All-Terrain Dual Max (20in),,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Max (20in),,,,,,,,,
2024,Rivian Automotive L,Rivian,R1S All-Terrain Dual Max (20in),RIV,33,0.0,,Auto(A1),78,67,73,112.1,96.3,104.3925,78.47,67.41,73.0748,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,355,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1050,1050,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,11/15/2023,34037,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,392,382,182,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Max. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Max.,2,AC Induction,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 20 IN AT DUAL MAX,,,,,,,,,,9,10,,RRIVT00.0SEP,10,,,,,,,,,,,,,,,4500,,0,0,0,,14.5,,,,,,379,326,355,
2024,Rivian Automotive L,Rivian,R1S All-Terrain Dual Max (20in),RIV,33,0.0,,Auto(A1),43,50,46,30.0545,35.0089,32.284,42.9527,50,46.124,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,355,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1050,1050,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,11/15/2023,34037,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,392,382,182,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Max. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Max.,2,AC Induction,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 20 IN AT DUAL MAX,,,,,,,,,,9,10,,RRIVT00.0SEP,10,,,,,,,,,,,,,,,4500,,0,0,0,,14.5,,,,,,379,326,355,
,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Standard Plus (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Standard Plus (20in),,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Standard Plus (20in),,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Standard Plus (20in),,,,,,,,,,,,,, ,,2024 Rivian R1S All-Terrain Dual Standard Plus (20in),,,,,, ,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Standard Plus (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Standard Plus (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Standard Plus (20in),,,,,,,,,,,,,, ,2024 Rivian R1S All-Terrain Dual Standard Plus (20in),,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Dual Standard Plus (20in),,,,,,,,,
2024,Rivian Automotive L,Rivian,R1S All-Terrain Dual Standard Plus (20in),RIV,49,0.0,,Auto(A1),68,62,65,97.3,88.7,93.2323,68.11,62.09,65.2626,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,277,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1150,1150,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,3/15/2024,34561,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,360,169,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Large. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Large.,2,Other,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S AT DUAL STD PLUS (20IN),,,,,,,,,,9,10,,RRIVT00.0192,10,,,,,,,,,,,,,,,4000,,0,0,0,,12.5,,,,,,288,263,277,
2024,Rivian Automotive L,Rivian,R1S All-Terrain Dual Standard Plus (20in),RIV,49,0.0,,Auto(A1),49,54,52,34.6462,37.978,36.1455,49.4861,54.2841,51.6452,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,277,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1150,1150,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,3/15/2024,34561,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,360,169,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Large. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Large.,2,Other,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S AT DUAL STD PLUS (20IN),,,,,,,,,,9,10,,RRIVT00.0192,10,,,,,,,,,,,,,,,4000,,0,0,0,,12.5,,,,,,288,263,277,
,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Large (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Large (20in),,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Large (20in),,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Large (20in),,,,,,,,,,,,,, ,,2024 Rivian R1S All-Terrain Performance Dual Large (20in),,,,,, ,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Large (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Large (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Large (20in),,,,,,,,,,,,,, ,2024 Rivian R1S All-Terrain Performance Dual Large (20in),,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Large (20in),,,,,,,,,
2024,Rivian Automotive L,Rivian,R1S All-Terrain Performance Dual Large (20in),RIV,24,0.0,,Auto(A1),72,64,68,102.5,91.6,97.2903,72.1149,64.4461,68.4496,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,307,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,11/15/2023,34028,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,360,169,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Large. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Large.,2,Other,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 20 IN AT DUAL LARGE PERF,,,,,,,,,,9,10,,RRIVT00.0192,10,,,,,,,,,,,,,,,4250,,0,0,0,,13,,,,,,322,288,307,
2024,Rivian Automotive L,Rivian,R1S All-Terrain Performance Dual Large (20in),RIV,24,0.0,,Auto(A1),47,52,49,32.8744,36.786,34.6347,46.7379,52.2995,49.2406,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,307,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,11/15/2023,34028,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,360,169,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Large. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Large.,2,Other,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 20 IN AT DUAL LARGE PERF,,,,,,,,,,9,10,,RRIVT00.0192,10,,,,,,,,,,,,,,,4250,,0,0,0,,13,,,,,,322,288,307,
,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Max (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Max (20in),,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Max (20in),,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Max (20in),,,,,,,,,,,,,, ,,2024 Rivian R1S All-Terrain Performance Dual Max (20in),,,,,, ,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Max (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Max (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Max (20in),,,,,,,,,,,,,, ,2024 Rivian R1S All-Terrain Performance Dual Max (20in),,,,,,,,,,,,,,,2024 Rivian R1S All-Terrain Performance Dual Max (20in),,,,,,,,,
2024,Rivian Automotive L,Rivian,R1S All-Terrain Performance Dual Max (20in),RIV,34,0.0,,Auto(A1),78,67,73,112.1,96.3,104.3925,78.47,67.41,73.0748,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,355,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1050,1050,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,11/15/2023,34053,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,392,382,182,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Max. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Max.,2,AC Induction,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 20 IN AT DUAL MAX PERF,,,,,,,,,,9,10,,RRIVT00.0SEP,10,,,,,,,,,,,,,,,4500,,0,0,0,,14.5,,,,,,379,326,355,
2024,Rivian Automotive L,Rivian,R1S All-Terrain Performance Dual Max (20in),RIV,34,0.0,,Auto(A1),43,50,46,30.0545,35.0089,32.284,42.9527,50,46.124,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,355,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1050,1050,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,11/15/2023,34053,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,392,382,182,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Max. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Max.,2,AC Induction,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 20 IN AT DUAL MAX PERF,,,,,,,,,,9,10,,RRIVT00.0SEP,10,,,,,,,,,,,,,,,4500,,0,0,0,,14.5,,,,,,379,326,355,
,,,,,,,,,,,,2024 Rivian R1S AT Performance Dual Standard Plus (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S AT Performance Dual Standard Plus (20in),,,,,,,,,,,,,,,,2024 Rivian R1S AT Performance Dual Standard Plus (20in),,,,,,,,,,,,,,,2024 Rivian R1S AT Performance Dual Standard Plus (20in),,,,,,,,,,,,,, ,,2024 Rivian R1S AT Performance Dual Standard Plus (20in),,,,,, ,,,,,,,,,,2024 Rivian R1S AT Performance Dual Standard Plus (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S AT Performance Dual Standard Plus (20in),,,,,,,,,,,,,,,,,2024 Rivian R1S AT Performance Dual Standard Plus (20in),,,,,,,,,,,,,, ,2024 Rivian R1S AT Performance Dual Standard Plus (20in),,,,,,,,,,,,,,,2024 Rivian R1S AT Performance Dual Standard Plus (20in),,,,,,,,,
2024,Rivian Automotive L,Rivian,R1S AT Performance Dual Standard Plus (20in),RIV,50,0.0,,Auto(A1),68,62,65,97.3,88.7,93.2323,68.11,62.09,65.2626,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,277,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1150,1150,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,3/15/2024,34569,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,360,169,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Large. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Large.,2,Other,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S AT PERF DUAL STD PLUS 20IN,,,,,,,,,,9,10,,RRIVT00.0192,10,,,,,,,,,,,,,,,4000,,0,0,0,,12.5,,,,,,288,263,277,
2024,Rivian Automotive L,Rivian,R1S AT Performance Dual Standard Plus (20in),RIV,50,0.0,,Auto(A1),49,54,52,34.6462,37.978,36.1455,49.4861,54.2841,51.6452,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,277,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1150,1150,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,3/15/2024,34569,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,360,169,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Large. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Large.,2,Other,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S AT PERF DUAL STD PLUS 20IN,,,,,,,,,,9,10,,RRIVT00.0192,10,,,,,,,,,,,,,,,4000,,0,0,0,,12.5,,,,,,288,263,277,
,,,,,,,,,,,,2024 Rivian R1S Dual Large (21in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (21in),,,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (21in),,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (21in),,,,,,,,,,,,,, ,,2024 Rivian R1S Dual Large (21in),,,,,, ,,,,,,,,,,2024 Rivian R1S Dual Large (21in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (21in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (21in),,,,,,,,,,,,,, ,2024 Rivian R1S Dual Large (21in),,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (21in),,,,,,,,,
2024,Rivian Automotive L,Rivian,R1S Dual Large (21in),RIV,12,0.0,,Auto(A1),82,74,78,115.6,104.4,110.2763,81.7384,73.8192,77.9742,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,352,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,950,950,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,11/15/2023,34030,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,360,169,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Large. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Large.,2,Other,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 21 IN DUAL LARGE,,,,,,,,,,9,10,,RRIVT00.0192,10,,,,,,,,,,,,,,,5000,,0,0,0,,13,,,,,,368,332,352,
2024,Rivian Automotive L,Rivian,R1S Dual Large (21in),RIV,12,0.0,,Auto(A1),41,46,43,29.1591,32.2742,30.5609,41.2352,45.6589,43.2259,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,352,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,950,950,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,11/15/2023,34030,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,360,169,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Large. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Large.,2,Other,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 21 IN DUAL LARGE,,,,,,,,,,9,10,,RRIVT00.0192,10,,,,,,,,,,,,,,,5000,,0,0,0,,13,,,,,,368,332,352,
,,,,,,,,,,,,2024 Rivian R1S Dual Large (22in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (22in),,,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (22in),,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (22in),,,,,,,,,,,,,, ,,2024 Rivian R1S Dual Large (22in),,,,,, ,,,,,,,,,,2024 Rivian R1S Dual Large (22in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (22in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (22in),,,,,,,,,,,,,, ,2024 Rivian R1S Dual Large (22in),,,,,,,,,,,,,,,2024 Rivian R1S Dual Large (22in),,,,,,,,,
2024,Rivian Automotive L,Rivian,R1S Dual Large (22in),RIV,13,0.0,,Auto(A1),80,71,75,112.2,99.7,106.2078,79.5846,70.7182,75.3343,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,341,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1000,1000,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,11/15/2023,34042,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,360,169,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Large. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Large.,2,Other,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 22 IN DUAL LARGE,,,,,,,,,,9,10,,RRIVT00.0192,10,,,,,,,,,,,,,,,4750,,0,0,0,,13,,,,,,359,319,341,
2024,Rivian Automotive L,Rivian,R1S Dual Large (22in),RIV,13,0.0,,Auto(A1),42,48,45,30.0517,33.7956,31.7364,42.3512,47.661,44.7406,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,341,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,1000,1000,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,11/15/2023,34042,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,400,360,169,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Large. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Large.,2,Other,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 22 IN DUAL LARGE,,,,,,,,,,9,10,,RRIVT00.0192,10,,,,,,,,,,,,,,,4750,,0,0,0,,13,,,,,,359,319,341,
,,,,,,,,,,,,2024 Rivian R1S Dual Max (21in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (21in),,,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (21in),,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (21in),,,,,,,,,,,,,, ,,2024 Rivian R1S Dual Max (21in),,,,,, ,,,,,,,,,,2024 Rivian R1S Dual Max (21in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (21in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (21in),,,,,,,,,,,,,, ,2024 Rivian R1S Dual Max (21in),,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (21in),,,,,,,,,
2024,Rivian Automotive L,Rivian,R1S Dual Max (21in),RIV,37,0.0,,Auto(A1),89,76,82,124.5,105.8,115.3272,89.0287,75.6565,82.4693,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,400,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,900,900,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,11/15/2023,34027,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,392,382,182,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Max. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Max.,2,AC Induction,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 21 IN DUAL MAX,,,,,,,,,,9,10,,RRIVT00.0SEP,10,,,,,,,,,,,,,,,5250,,0,0,0,,14.5,,,,,,429,365,400,
2024,Rivian Automotive L,Rivian,R1S Dual Max (21in),RIV,37,0.0,,Auto(A1),38,45,41,27.0657,31.867,29.2262,37.8586,44.55,40.8697,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,400,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,900,900,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,11/15/2023,34027,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,392,382,182,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Max. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Max.,2,AC Induction,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 21 IN DUAL MAX,,,,,,,,,,9,10,,RRIVT00.0SEP,10,,,,,,,,,,,,,,,5250,,0,0,0,,14.5,,,,,,429,365,400,
,,,,,,,,,,,,2024 Rivian R1S Dual Max (22in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (22in),,,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (22in),,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (22in),,,,,,,,,,,,,, ,,2024 Rivian R1S Dual Max (22in),,,,,, ,,,,,,,,,,2024 Rivian R1S Dual Max (22in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (22in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (22in),,,,,,,,,,,,,, ,2024 Rivian R1S Dual Max (22in),,,,,,,,,,,,,,,2024 Rivian R1S Dual Max (22in),,,,,,,,,
2024,Rivian Automotive L,Rivian,R1S Dual Max (22in),RIV,41,0.0,,Auto(A1),84,72,78,115.6,98.6,107.2768,83.8586,71.5264,77.8207,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,380,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,950,950,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,11/15/2023,34032,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,392,382,182,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Max. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Max.,2,AC Induction,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 22 IN DUAL MAX,,,,,,,,,,9,10,,RRIVT00.0SEP,10,,,,,,,,,,,,,,,5000,,0,0,0,,14.5,,,,,,407,347,380,
2024,Rivian Automotive L,Rivian,R1S Dual Max (22in),RIV,41,0.0,,Auto(A1),40,47,43,29.1668,34.1693,31.4179,40.1927,47.1225,43.3111,,,,A,Automatic,,1,N,N,P,Part-time 4-Wheel Drive,,,380,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,950,950,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 5-cycle label,11/15/2023,34032,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,392,382,182,Both On-Board and Off-Board,,,Electrical Regen Brake,,Both,Y,,,,All-Purpose (Default) Drive Mode Rated Motor/Generator Power (kWatt) 248 and 248 is for Performance Dual Max. Rated Motor/Generator Power (kWatt) 208 and 208 is for Dual Max.,2,AC Induction,AC Permanent Magnet,208 and 208,,,,,N,Y,,,N,No,R1S 22 IN DUAL MAX,,,,,,,,,,9,10,,RRIVT00.0SEP,10,,,,,,,,,,,,,,,5000,,0,0,0,,14.5,,,,,,407,347,380,
,,,,,,,,,,,,2024 Rivian R1S Dual Standard (21in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Standard (21in),,,,,,,,,,,,,,,,2024 Rivian R1S Dual Standard (21in),,,,,,,,,,,,,,,2024 Rivian R1S Dual Standard (21in),,,,,,,,,,,,,, ,,2024 Rivian R1S Dual Standard (21in),,,,,, ,,,,,,,,,,2024 Rivian R1S Dual Standard (21in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Standard (21in),,,,,,,,,,,,,,,,,2024 Rivian R1S Dual Standard (21in),,,,,,,,,,,,,, ,2024 Rivian R1S Dual Standard (21in),,,,,,,,,,,,,,,2024 Rivian R1S Dual Standard (21in),,,,,,,,,
